workload_type,engine,ad_mode,M,instance_type,machine_family,vcpu_count,mean_runtime_ms,throughput_paths_per_sec,cost_per_run,paths_per_dollar,region,zone
asian,jax,none,10000,,,,85.01313320002737,117628.88419217538,0.0008501313320002738,,,
asian,jax,none,50000,,,,257.7827927999806,193961.74374911093,0.01288913963999903,,,
asian,jax,none,100000,,,,403.6070343999654,247765.75103223367,0.040360703439996544,,,
asian,jax,forward,10000,,,,402.9728053999861,24815.57034617787,0.004029728053999861,,,
asian,jax,forward,50000,,,,666.9134747999578,74972.2443604811,0.033345673739997896,,,
asian,jax,forward,100000,,,,915.611454000009,109216.63284478639,0.0915611454000009,,,
asian,jax,reverse,10000,,,,310.7761941999797,32177.496818064366,0.0031077619419997973,,,
asian,jax,reverse,50000,,,,528.6006867999731,94589.35875147741,0.026430034339998656,,,
asian,jax,reverse,100000,,,,723.8594184000704,138148.37171149568,0.07238594184000703,,,
european,cpu,none,1000,c2d-standard-4,c2d,4,0.06594666666615012,15163768.702100173,6.594666666615013e-08,,europe-west1,europe-west1-b
european,jax,none,1000,c2d-standard-4,c2d,4,0.3069803333346499,3257537.670694576,3.069803333346499e-07,,europe-west1,europe-west1-b
european,jax,forward,1000,c2d-standard-4,c2d,4,1.3622139999966976,734099.0475816753,1.3622139999966977e-06,,europe-west1,europe-west1-b
european,jax,reverse,1000,c2d-standard-4,c2d,4,1.7244410000027226,579898.0655171276,1.7244410000027226e-06,,europe-west1,europe-west1-b
european_local_vol,cpu,none,1000,c2d-standard-4,c2d,4,12.104896333331302,82611.19901097055,1.2104896333331303e-05,,europe-west1,europe-west1-b
european_local_vol,jax,none,1000,c2d-standard-4,c2d,4,8.973103666666779,111444.15991924766,8.973103666666778e-06,,europe-west1,europe-west1-b
european_local_vol,jax,forward,1000,c2d-standard-4,c2d,4,38.79391700000193,25777.237189014715,3.879391700000194e-05,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,1000,c2d-standard-4,c2d,4,17.835844666663547,56066.87088215511,1.7835844666663546e-05,,europe-west1,europe-west1-b
asian,cpu,none,1000,c2d-standard-4,c2d,4,7.5501926666656045,132446.95124338203,7.550192666665605e-06,,europe-west1,europe-west1-b
asian,jax,none,1000,c2d-standard-4,c2d,4,61.75555099999978,16192.876329449375,6.175555099999977e-05,,europe-west1,europe-west1-b
asian,jax,forward,1000,c2d-standard-4,c2d,4,310.85845699999953,3216.8981653280275,0.00031085845699999954,,europe-west1,europe-west1-b
asian,jax,reverse,1000,c2d-standard-4,c2d,4,205.85334233333205,4857.827367120085,0.00020585334233333205,,europe-west1,europe-west1-b
european,cpu,none,1000,c2d-standard-4,c2d,4,0.06594666666615012,15163768.702100173,6.594666666615013e-08,,europe-west1,europe-west1-b
european,jax,forward,1000,c2d-standard-4,c2d,4,1.3622139999966976,734099.0475816753,1.3622139999966977e-06,,europe-west1,europe-west1-b
european,jax,reverse,1000,c2d-standard-4,c2d,4,1.7244410000027226,579898.0655171276,1.7244410000027226e-06,,europe-west1,europe-west1-b
european_local_vol,cpu,none,1000,c2d-standard-4,c2d,4,12.104896333331302,82611.19901097055,1.2104896333331303e-05,,europe-west1,europe-west1-b
european_local_vol,jax,forward,1000,c2d-standard-4,c2d,4,38.79391700000193,25777.237189014715,3.879391700000194e-05,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,1000,c2d-standard-4,c2d,4,17.835844666663547,56066.87088215511,1.7835844666663546e-05,,europe-west1,europe-west1-b
asian,jax,forward,1000,c2d-standard-4,c2d,4,310.85845699999953,3216.8981653280275,0.00031085845699999954,,europe-west1,europe-west1-b
asian,jax,reverse,1000,c2d-standard-4,c2d,4,205.85334233333205,4857.827367120085,0.00020585334233333205,,europe-west1,europe-west1-b
european,jax,none,5000,c2d-standard-4,c2d,4,0.4281944000041449,11676939.259251406,2.1409720000207243e-06,,europe-west1,europe-west1-b
european_local_vol,jax,none,5000,c2d-standard-4,c2d,4,37.97320039999761,131671.8092584136,0.00018986600199998805,,europe-west1,europe-west1-b
asian,cpu,none,5000,c2d-standard-4,c2d,4,29.512339600000814,169420.65819816812,0.0001475616980000041,,europe-west1,europe-west1-b
asian,jax,none,5000,c2d-standard-4,c2d,4,70.8953159999993,70526.52110331309,0.0003544765799999965,,europe-west1,europe-west1-b
asian,cpu,none,5000,c2d-standard-4,c2d,4,29.512339600000814,169420.65819816812,0.0001475616980000041,,europe-west1,europe-west1-b
european,jax,none,25000,c2d-standard-4,c2d,4,0.6394720000011083,39094753.17129862,1.5986800000027706e-05,,europe-west1,europe-west1-b
